# InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04





# One-dimensional model
# Timestep=  12000
# j, (j+.5)*DNHI,     y1H[j],     y1He[j],     EH[j],     Te[j],     EHII[j],     THII[j],     EHI[j],     THI[j],     EHeI[j],     THeI[j],     EHeII[j],     THeII[j],     dEH[j]
  90 2.26250E+18 0.000000000000000 0.000000 0.197905 19295.261751054356864 0.183415 19295.261751054345950 0.000000 19295.261751054331398 0.000000 19295.261751054185879 0.014490 19295.261751054349588 0.0000000000
  91 2.28750E+18 0.000000000000000 0.000000 0.198031 19307.577654645858274 0.183532 19307.577654645858274 0.000000 19307.577654645832808 0.000000 19307.577654645869188 0.014499 19307.577654645858274 0.0000000000
  92 2.31250E+18 0.000000000000000 0.000000 0.198155 19319.628947461522330 0.183647 19319.628947461511416 0.000000 19319.628947461511416 0.000000 19319.628947461464122 0.014508 19319.628947461515054 0.0000000000
  93 2.33750E+18 0.000000000000000 0.000000 0.198276 19331.422667198297859 0.183759 19331.422667198301497 0.000000 19331.422667198316049 0.000000 19331.422667198370618 0.014517 19331.422667198301497 0.0000000000
  94 2.36250E+18 0.000000000000000 0.000000 0.198394 19342.966824195886147 0.183869 19342.966824195878871 0.000000 19342.966824195838853 0.000000 19342.966824195653317 0.014526 19342.966824195878871 0.0000000000
  95 2.38750E+18 0.000000000000000 0.000000 0.198510 19354.265586624031130 0.183976 19354.265586624023854 0.000000 19354.265586623994750 0.000000 19354.265586623900163 0.014534 19354.265586624027492 0.0000000000
  96 2.41250E+18 0.000000000000000 0.000000 0.198623 19365.326619227867923 0.184081 19365.326619227867923 0.000000 19365.326619227813353 0.000000 19365.326619227660558 0.014542 19365.326619227867923 0.0000000000
  97 2.43750E+18 0.000000000000000 0.000000 0.198735 19376.157167935190955 0.184184 19376.157167935187317 0.000000 19376.157167935172765 0.000000 19376.157167935016332 0.014551 19376.157167935183679 0.0000000000
  98 2.46250E+18 0.000000000000000 0.000000 0.198843 19386.761136878605612 0.184285 19386.761136878605612 0.000000 19386.761136878558318 0.000000 19386.761136878467369 0.014558 19386.761136878601974 0.0000000000
  99 2.48750E+18 0.000000000000000 0.000000 0.198950 19397.145462772357860 0.184384 19397.145462772350584 0.000000 19397.145462772310566 0.000000 19397.145462772314204 0.014566 19397.145462772350584 0.0000000000
 100 2.51250E+18 0.000000000000000 0.000000 0.199054 19407.316700344345008 0.184480 19407.316700344355922 0.000000 19407.316700344275887 0.000000 19407.316700344254059 0.014574 19407.316700344352284 0.0000000000
 101 2.53750E+18 0.000000000000000 0.000000 0.199156 19417.278524062476208 0.184575 19417.278524062472570 0.000000 19417.278524062403449 0.000000 19417.278524062508950 0.014581 19417.278524062472570 0.0000000000
 102 2.56250E+18 0.000000000000000 0.000000 0.199256 19427.038013701760065 0.184668 19427.038013701763703 0.000000 19427.038013701712771 0.000000 19427.038013701643649 0.014589 19427.038013701763703 0.0000000000
