# ﻿InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04





# One-dimensional model
# Timestep=  12000
# j, (j+.5)*DNHI,     y1H[j],     y1He[j],     EH[j],     Te[j],     EHII[j],     THII[j],     EHI[j],     THI[j],     EHeI[j],     THeI[j],     EHeII[j],     THeII[j],     dEH[j]
  37 9.37500E+017 0.000000000000000 0.000000 0.184062 17945.627232110637124 0.170586 17945.627232110633486 0.000000 17945.627232110622572 0.000000 17945.627232110698969 0.013476 17945.627232110629848 0.0000000000
  38 9.62500E+017 0.000000000000000 0.000000 0.184546 17992.821711064647388 0.171034 17992.821711064643750 0.000000 17992.821711064618285 0.000000 17992.821711064414558 0.013512 17992.821711064643750 0.0000000000
  39 9.87500E+017 0.000000000000000 0.000000 0.185016 18038.619784868267743 0.171470 18038.619784868271381 0.000000 18038.619784868296847 0.000000 18038.619784868387796 0.013546 18038.619784868275019 0.0000000000
  40 1.01250E+018 0.000000000000000 0.000000 0.185472 18083.086326929682400 0.171892 18083.086326929686038 0.000000 18083.086326929667848 0.000000 18083.086326929311326 0.013580 18083.086326929682400 0.0000000000
  41 1.03750E+018 0.000000000000000 0.000000 0.185915 18126.281672942215664 0.172303 18126.281672942215664 0.000000 18126.281672942292062 0.000000 18126.281672942452133 0.013612 18126.281672942215664 0.0000000000
  42 1.06250E+018 0.000000000000000 0.000000 0.186345 18168.226299526129878 0.172702 18168.226299526129878 0.000000 18168.226299526082585 0.000000 18168.226299526399089 0.013643 18168.226299526129878 0.0000000000
  43 1.08750E+018 0.000000000000000 0.000000 0.186763 18208.988426166877616 0.173089 18208.988426166888530 0.000000 18208.988426166888530 0.000000 18208.988426166808495 0.013674 18208.988426166881254 0.0000000000
  44 1.11250E+018 0.000000000000000 0.000000 0.187169 18248.586466737691808 0.173466 18248.586466737691808 0.000000 18248.586466737717274 0.000000 18248.586466737764567 0.013704 18248.586466737691808 0.0000000000
  45 1.13750E+018 0.000000000000000 0.000000 0.187564 18287.083090582502336 0.173832 18287.083090582502336 0.000000 18287.083090582462319 0.000000 18287.083090582687873 0.013733 18287.083090582505974 0.0000000000
  46 1.16250E+018 0.000000000000000 0.000000 0.187948 18324.495027010492777 0.174187 18324.495027010496415 0.000000 18324.495027010463673 0.000000 18324.495027010449121 0.013761 18324.495027010496415 0.0000000000
  47 1.18750E+018 0.000000000000000 0.000000 0.188321 18360.879851360350585 0.174533 18360.879851360354223 0.000000 18360.879851360321481 0.000000 18360.879851360325119 0.013788 18360.879851360354223 0.0000000000
  48 1.21250E+018 0.000000000000000 0.000000 0.188684 18396.262287388417462 0.174869 18396.262287388424738 0.000000 18396.262287388468394 0.000000 18396.262287388173718 0.013815 18396.262287388421100 0.0000000000
  49 1.23750E+018 0.000000000000000 0.000000 0.189037 18430.667094984870346 0.175196 18430.667094984863070 0.000000 18430.667094984804862 0.000000 18430.667094985034055 0.013841 18430.667094984863070 0.0000000000
  50 1.26250E+018 0.000000000000000 0.000000 0.189380 18464.145172044998617 0.175515 18464.145172044994979 0.000000 18464.145172044969513 0.000000 18464.145172044914943 0.013866 18464.145172044994979 0.0000000000
  51 1.28750E+018 0.000000000000000 0.000000 0.189714 18496.718294115882600 0.175824 18496.718294115871686 0.000000 18496.718294115882600 0.000000 18496.718294115853496 0.013890 18496.718294115871686 0.0000000000
  52 1.31250E+018 0.000000000000000 0.000000 0.190039 18528.408404282639822 0.176126 18528.408404282636184 0.000000 18528.408404282647098 0.000000 18528.408404282741685 0.013914 18528.408404282639822 0.0000000000
  53 1.33750E+018 0.000000000000000 0.000000 0.190356 18559.260463137929037 0.176419 18559.260463137929037 0.000000 18559.260463137885381 0.000000 18559.260463138096384 0.013937 18559.260463137929037 0.0000000000
  54 1.36250E+018 0.000000000000000 0.000000 0.190664 18589.293814863834996 0.176704 18589.293814863834996 0.000000 18589.293814863838634 0.000000 18589.293814863995067 0.013960 18589.293814863831358 0.0000000000
